name,bookings,rating,reviews,price,cuisine,location
Rudy's Seafood,NA,4.4,74,2,Seafood,Cliffside Park
MEYHANE,NA,4.6,8,2,Mediterranean,Cliffside Park
Melba's,36,4.5,191,4,American,Harlem
Emma Bistro formerly Emma of Englewood,NA,4.6,10,2,Contemporary American,Edgewater
Ashoka - Upper West Side,NA,4.4,101,2,Indian,Upper West Side
Sarabeth's West,NA,4.2,1984,2,American,Upper West Side
Bettolona,NA,4.3,117,2,Italian,Harlem
L'Angolo Trattoria,NA,4.4,33,2,Italian,Cliffside Park
Skinny's Cantina on the Hudson,NA,NA,NA,2,Mexican,Harlem
Revolucion Taco UWS,NA,3.3,1,2,Mexican,Upper West Side
Dear Mama - Manhattanville,15,NA,NA,2,Café,Harlem
Storico,NA,4.2,1590,3,Contemporary Italian,Upper West Side
Red Lobster - New York - 125th St.,NA,3.9,8,2,Seafood,Harlem
The Wright,NA,3.9,662,2,American,Upper East Side
Big Nick's,NA,NA,NA,2,Pizzeria,Upper West Side
Kebab Istanbul,NA,5.0,1,2,Turkish,Union City
Mama Sushi,NA,4.4,68,3,Sushi,"Hamilton, New York"
Harlem Hops,NA,NA,NA,3,Gastro Pub,Harlem
Ginny’s Supper Club,NA,4.4,484,3,American,Harlem
Harlem Ale House,NA,4.3,14,2,American,Harlem
The Lexington Social,NA,4.3,18,2,International,Harlem
Giovanni Venticinque,NA,4.5,300,3,Italian,Upper East Side
The Grand Tier Restaurant,NA,4.4,3649,4,American,Lincoln Square
Bookmarks,NA,NA,NA,3,Tapas / Small Plates,Midtown East
Atlantic Grill,NA,NA,NA,2,Seafood,Upper West Side
Five Mile Stone,3,4.4,149,2,American,Upper East Side
P.J. Clarke's-Lincoln Square,NA,4.3,905,2,American,Lincoln Square
The Smith Pizza Joint - Lincoln Square,NA,NA,NA,2,Pizzeria,Lincoln Square
The Carlyle Restaurant,NA,4.4,875,4,American,Upper East Side
Dear Mama - East Harlem,NA,NA,NA,2,Café,East Harlem
Tenzan 89,NA,4.0,6,2,Japanese Speciality,Upper East Side
Shoga Sushi,NA,4.4,9,2,Sushi,Upper East Side
The Jin,NA,4.6,19,2,Korean,Midtown West
Harlem Wine Room,NA,4.9,7,3,Wine Bar,Harlem
Greek Taverna - Edgewater,NA,4.1,155,3,Greek,Edgewater
Sushi Nonaka,NA,4.9,158,4,Sushi,Upper West Side
The Consulate,NA,4.7,176,3,French American,Upper West Side
Gigi & Mario,NA,NA,NA,2,Pizza Bar,Cliffside Park
Baumgart's Café - Edgewater,NA,NA,NA,2,American,North Bergen
Pa De Thai Restaurant,NA,NA,NA,2,Thai,Edgewater
The Original Pancake House,NA,NA,NA,2,American,Edgewater
Viva Margartia - Edgewater,NA,NA,NA,2,Mexican,Cliffside Park
Outback Steakhouse - Edgewater,NA,NA,NA,2,Steak,Edgewater
Porto By Antonio,NA,NA,NA,3,Italian,North Bergen
Sabor Latin Bistro,NA,4.3,241,3,Latin American,North Bergen
Mangia,NA,NA,NA,4,American,Edgewater
Joe's Crab Shack - Edgewater,NA,4.0,70,2,Seafood,Edgewater
Cascabel Taqueria,NA,NA,NA,2,Mexican,Edgewater
Toast,NA,NA,NA,2,American,Edgewater
Westway Metkal Cafe,NA,NA,NA,2,American,Edgewater
The Manchester Diner,NA,NA,NA,2,American,Edgewater
Deranda Cafe,NA,NA,NA,2,American,Edgewater
Abbey Restaurant,NA,NA,NA,2,American,Edgewater
Brooklyn's Coal-Burning Brick-Oven Pizzeria - Edgewater,NA,NA,NA,3,Italian,Edgewater
Spirit Lounge,NA,NA,NA,2,American,Edgewater
Spirit Bar & Restaurant,NA,NA,NA,2,American,Edgewater
Chick Chick,NA,NA,NA,2,Korean,Upper West Side
It's Greek To Me - Cliffside Park,NA,NA,NA,3,Greek,Cliffside Park
Mighty Catch - Upper West Side,NA,NA,NA,2,Seafood,Upper West Side
Tum & Yum,NA,NA,NA,2,Asian,Harlem
Pekarna,NA,NA,NA,2,Mediterranean,Upper West Side
Chirping Chicken,NA,NA,NA,2,Grill,Upper West Side
Palermo Pizza & Italian Restaurant,NA,NA,NA,2,Italian,Weehawken
Cipos Restaurant,NA,NA,NA,2,American,North Bergen
588 Restaurant Corporation Caridad,NA,NA,NA,2,Latin American,Upper West Side
Harry's Food & Drink,NA,NA,NA,2,American,North Bergen
Gabriela's,NA,3.7,435,2,Mexican,Upper West Side
Crepes On Columbus,NA,NA,NA,2,French,Harlem
Daniellos Pizzeria Incorporated,NA,NA,NA,2,Italian,Upper West Side
The Wild Rover Pub,NA,NA,NA,2,Grill,Weehawken
MIMI,NA,3.7,7,2,Japanese,Upper West Side
The Parlour - UWS,NA,NA,NA,2,Gastro Pub,Upper West Side
Hunan Chen's Kitchen,NA,NA,NA,2,Chinese,Harlem
Fredas,NA,NA,NA,2,Caribbean,Harlem
Indian Tampura,NA,NA,NA,2,Indian,Upper West Side
Gastronomia Culinaria,NA,3.8,50,3,Italian,Upper West Side
106 Gourmet Cafe,NA,NA,NA,2,American,Harlem
Cafe On Broadway,NA,NA,NA,2,American,Upper West Side
Amelie - UWS,NA,NA,NA,2,Wine Bar,Upper West Side
Tapas de Espana - North Bergen,NA,NA,NA,3,Fusion / Eclectic,North Bergen
M.A.C.C.,NA,NA,NA,2,Unspecified,Harlem
Anatolia Turkish Kitchen,NA,NA,NA,2,Eastern European,Cliffside Park
Mama's Pizza,NA,NA,NA,2,Italian,Upper West Side
Lotus Restaurant,NA,NA,NA,2,Chinese,Weehawken
o2 BBQ,NA,NA,NA,2,Korean,Jersey City
La Fortuna,NA,NA,NA,2,Mexican,Cliffside Park
GP?s Restaurant,NA,NA,NA,3,Italian,West New York
Mac Shack,NA,NA,NA,3,Italian,West New York
Kirsh Bakery and Kitchen,NA,4.3,19,2,American,Upper West Side
Trattoria La Sorrentina,NA,NA,NA,2,Mexican,North Bergen
Simply Grand,NA,NA,NA,2,American,Upper West Side
La Kausa Restaurant,NA,NA,NA,2,Latin American,North Bergen
Senn Thai,NA,NA,NA,3,Thai,Upper West Side
Han Dynasty,NA,5.0,1,4,Chinese,Upper West Side
Popover Cafe,NA,NA,NA,2,American,Upper West Side
Greengrass Barney,NA,NA,1,2,American,Upper West Side
Paloma Negra,NA,NA,NA,2,Mexican,Cliffside Park
Camilles Restaurants,NA,NA,NA,2,American,Harlem
Trova Cuban Cafe,NA,NA,NA,2,Cuban,North Bergen
Maison Pickle,NA,NA,NA,2,Comfort Food,Upper West Side
La Cocina,NA,NA,NA,2,Mexican,Upper West Side
Casa Del Faro Restaurant,NA,NA,NA,2,Seafood,Weehawken
Cafe Per Tutti,NA,NA,NA,3,Farm-to-table,North Bergen
Olivella Restaurant,NA,3.8,18,2,Italian,North Bergen
Cafe Pushkin,NA,NA,NA,2,Eastern European,Upper West Side
Antonios Restaurant And Pizzeria,NA,NA,NA,2,Italian,Weehawken
Patrona Fusion Restaurant,NA,3.7,16,3,Italian,West New York
Iberia Tavern and Restaurant -,NA,NA,NA,3,American,Cliffside Park
Trio Restaurant Bar & Cafe,NA,NA,NA,2,American,Cliffside Park
Good Eats,NA,NA,NA,2,Southwest,Weehawken
Guacamole Mexican Rest.,NA,NA,NA,2,Mexican,Weehawken
Garden Pizza,NA,NA,NA,2,Italian,North Bergen
New Kam Lai Chinese Restaurant,NA,NA,NA,2,Chinese,Upper West Side
The Point,NA,NA,NA,2,American,North Bergen
Kitaro Incorporated,NA,NA,NA,2,Japanese,Upper West Side
Cavalino's Restaurant & Bar,NA,4.0,1,2,Italian,West New York
Havana&apos S Cuban Cafe Incorporated,NA,NA,NA,2,Caribbean,Edgewater
Di Palma Brothers Restaurant,NA,NA,NA,2,Italian,North Bergen
Celeste,NA,4.5,2,2,Italian,Upper West Side
Bella Luna - NYC,NA,4.3,1142,2,Italian,Upper West Side
Arties Delicatessen And Caterers,NA,NA,NA,2,American,Upper West Side
Jacob's Pickles,NA,4.4,40,2,Southern,Upper West Side
New Szecuan Express,NA,NA,NA,2,Chinese,Cliffside Park
Lins Garden,NA,NA,NA,2,Chinese,North Bergen
America Central Restaurant,NA,NA,NA,2,American,North Bergen
In Motion Meals,NA,NA,NA,2,Italian,Cliffside Park
Flor de Mayo - West 80s,NA,NA,NA,2,Chinese,Upper West Side
George Keeley's,NA,NA,NA,2,Grill,Upper West Side
TBD - 480 Amsterdam,NA,NA,NA,2,American,Upper West Side
Cafe Lalo,NA,NA,NA,2,American,Upper West Side
FRED'S,NA,NA,NA,2,American,Upper West Side
Kabob On The Cliff,NA,NA,NA,2,American,Cliffside Park
Mikies Place Restaurant,NA,NA,NA,2,American,North Bergen
Brownstone Pancake Factory,NA,5.0,1,2,American,Edgewater
Club House Cafe,NA,NA,NA,2,American,Cliffside Park
Pittie Soochow,NA,NA,NA,2,Chinese,Cliffside Park
Charro Mexicano Rest&,NA,NA,NA,2,Mexican,North Bergen
Rose's Lebanese Cuisine,NA,NA,NA,2,American,Cliffside Park
Mokum,NA,NA,NA,2,Provencal,Upper West Side
Gorilla Grill,NA,NA,NA,2,Korean,Cliffside Park
Jin Ramen,NA,NA,NA,2,Japanese,Upper West Side
Hampton Chutney Company,NA,NA,NA,2,Indian,Upper West Side
Nutrition Zone Cafe,NA,NA,NA,2,American,Cliffside Park
Cinar Turkish Restaurant- Cliffside Park,NA,4.3,2,2,Turkish,Cliffside Park
Bento,NA,NA,NA,2,American,Cliffside Park
Peacefood Cafe Inc,NA,NA,NA,2,American,Upper West Side
Number One Chinese Restaurant,NA,NA,NA,2,Chinese,Weehawken
Patsy's Restaurant,NA,5.0,1,4,Italian,Cliffside Park
Firehouse,NA,NA,NA,2,American,Upper West Side
Land Thai KItchen (2) NYC,NA,NA,NA,2,Thai,Upper West Side
Kinara Indian Restaruant,NA,NA,NA,2,Indian,Cliffside Park
The One And Only,NA,NA,NA,2,Latin American,Weehawken
John's Fried Chicken,NA,NA,NA,2,Grill,Cliffside Park
Restaurant Prestige,NA,NA,NA,2,American,Cliffside Park
Amused,NA,NA,NA,2,American,Upper West Side
Machiavelli,NA,NA,NA,3,Italian,Upper West Side
Zheng's River Restaurant,NA,NA,NA,2,Chinese,Harlem
Centro Latino Ii,NA,NA,NA,2,Caribbean,Weehawken
Motorino-UWS,NA,NA,NA,2,Pizzeria,Upper West Side
Pasta Franco,NA,NA,NA,2,Italian,Upper West Side
Massawa - NY,NA,NA,NA,2,African,Harlem
Taqueria Mexicana Restaurant,NA,NA,NA,2,Mexican,Weehawken
Bier International,NA,NA,NA,4,American,Harlem
One Hundred Twenty First Street Cafe Limited,NA,NA,NA,2,American,Harlem
The Meatball Shop - UWS,NA,NA,NA,2,Italian,Upper West Side
Zoma,NA,NA,NA,2,African,Harlem
The Gin Mil,NA,NA,NA,2,Grill,Upper West Side
China Wok,NA,NA,NA,2,Chinese,Weehawken
Blossom on Columbus,NA,4.5,980,2,Vegan,Upper West Side
Goody Spanish & Chinese Restaurant,NA,NA,NA,2,Chinese,North Bergen
The Park 112,NA,3.7,98,2,Tapas / Small Plates,Harlem
67 Orange Street,NA,NA,NA,2,Bar / Lounge / Bottle Service,Harlem
Osteria Cotta,NA,4.4,102,2,Italian,Upper West Side
Brgr,NA,NA,NA,2,American,Upper West Side
Puerto Vallarta Restaurant,NA,NA,NA,2,Mexican,North Bergen
Bodegon - NJ,NA,NA,NA,2,Northwest Spain,Cliffside Park
St James Gate,NA,NA,NA,2,American,Upper West Side
Harlem Food Bar,NA,4.7,2,2,American,Harlem
Lido Restaurant & Bar,NA,4.5,1,2,Italian,Jersey City
Grill 212,NA,NA,NA,2,Grill,Upper West Side
Tasca,NA,NA,NA,2,Spanish,Upper West Side
La Grata Harlem,NA,4.1,24,2,Indian,Upper West Side
Spice - Upper West Side,NA,3.7,119,2,Thai,Upper West Side
Prohibition,NA,NA,NA,2,Gastro Pub,Upper West Side
